question,category,is_critical,vendor_type,standard_required,compliance_standard
Financial Stability: Can the vendor demonstrate financial stability and long-term viability (e.g. through recent audited financial statements or credit ratings)?​,General,False,Any,False,
Risk Management: Does your organization have a formal risk management program or framework to identify and mitigate business and security risks?,General,False,Any,False,
Data Ownership Rights: Does the contract explicitly state that the client retains ownership of its data and include provisions for the return or deletion of data upon contract termination?​,Legal,False,Any,False,
Breach Notification Clause: Does your standard contract require you to promptly notify the client in the event of a security breach or data incident (e.g. within a specified timeframe)?​,Legal,True,Any,False,
Liability and Indemnification: Are there provisions indemnifying the client and assigning liability to the vendor in case a data breach or negligence on the vendor’s part causes harm (including covering incident-related costs)?​​,Legal,True,Any,False,
Business Continuity Plan: Do you have a documented business continuity and disaster recovery plan to sustain critical services during outages or disasters?,Operational,True,Any,False,
BCP Testing: Is the business continuity/disaster recovery plan tested at least annually and updated based on test results or organizational changes?,Operational,True,Any,False,
"Supply Chain Continuity: If you rely on suppliers or partners, do you have contingency plans or alternate suppliers to ensure continuity of service in case a key supplier fails?",Operational,False,Any,False,
"Incident Response: Do you maintain a documented cybersecurity incident response plan for detecting, responding to, and recovering from security incidents?​​",Operational,True,Any,False,
Incident Drills: Do you conduct regular incident response drills or tabletop exercises to ensure your team is prepared to handle security incidents effectively?,Operational,True,Any,False,
"Customer Incident Notification: In the event of an incident impacting clients, do you have a process to promptly inform affected customers and assist with response (per contractual or regulatory requirements)?",Operational,True,Any,False,
Support Availability: Do you provide defined support hours and escalation procedures (e.g. 24/7 support for critical issues) as part of a service support agreement?,Operational,False,Any,False,
"Support SLAs: Are support response and resolution times formalized in an SLA, and do you track and meet those service level targets consistently?",Operational,False,Any,False,
"Change Management: Is there a formal change management process in place for system or software changes, including risk assessment, testing, and management approval prior to implementation?",Operational,False,Any,False,
"Customer Notification of Changes: Will you notify clients in advance of significant changes, updates, or maintenance that could impact service availability or security?",Operational,False,Any,False,
"Release Management: Do you schedule routine maintenance and updates during agreed-upon windows to minimize disruption, and have rollback plans if a change causes issues?",Operational,False,Any,False,
"Incident Logging and Post-Mortem: After major incidents or outages, do you perform root cause analysis and share post-mortem reports or summaries with clients, including remediation steps?",Operational,True,Any,False,
